method,metric,value
baseline_softmax_seed1,AUROC_S1_max,"0.8116 [0.7906,0.8341]"
baseline_softmax_seed1,AUROC_S2_mean,"0.7385 [0.7150,0.7628]"
baseline_softmax_seed1,AUROC_S3_exceed,"0.7385 [0.7133,0.7657]"
baseline_softmax_seed1,AUROC_S4_class,"0.7385 [0.7150,0.7628]"
baseline_softmax_seed1,AUROC_S5_dist,"0.6994 [0.6753,0.7244]"
baseline_softmax_seed2,AUROC_S1_max,"0.7980 [0.7760,0.8181]"
baseline_softmax_seed2,AUROC_S2_mean,"0.7337 [0.7090,0.7578]"
baseline_softmax_seed2,AUROC_S3_exceed,"0.7440 [0.7179,0.7693]"
baseline_softmax_seed2,AUROC_S4_class,"0.7337 [0.7090,0.7578]"
baseline_softmax_seed2,AUROC_S5_dist,"0.6975 [0.6720,0.7223]"
baseline_softmax_seed3,AUROC_S1_max,"0.7818 [0.7582,0.8047]"
baseline_softmax_seed3,AUROC_S2_mean,"0.7282 [0.7054,0.7537]"
baseline_softmax_seed3,AUROC_S3_exceed,"0.7393 [0.7144,0.7648]"
baseline_softmax_seed3,AUROC_S4_class,"0.7282 [0.7054,0.7537]"
baseline_softmax_seed3,AUROC_S5_dist,"0.6942 [0.6708,0.7191]"
baseline_softmax_seed4,AUROC_S1_max,"0.7921 [0.7693,0.8131]"
baseline_softmax_seed4,AUROC_S2_mean,"0.7320 [0.7060,0.7569]"
baseline_softmax_seed4,AUROC_S3_exceed,"0.7432 [0.7173,0.7687]"
baseline_softmax_seed4,AUROC_S4_class,"0.7320 [0.7060,0.7569]"
baseline_softmax_seed4,AUROC_S5_dist,"0.6979 [0.6728,0.7238]"
baseline_softmax_seed5,AUROC_S1_max,"0.7763 [0.7530,0.8002]"
baseline_softmax_seed5,AUROC_S2_mean,"0.7278 [0.7040,0.7527]"
baseline_softmax_seed5,AUROC_S3_exceed,"0.7340 [0.7089,0.7597]"
baseline_softmax_seed5,AUROC_S4_class,"0.7278 [0.7040,0.7527]"
baseline_softmax_seed5,AUROC_S5_dist,"0.6926 [0.6670,0.7170]"
baseline_softmax_mean_across_seeds,AUROC_S1_max,"0.7920 [0.7763,0.8116]"
baseline_softmax_mean_across_seeds,AUROC_S2_mean,"0.7320 [0.7278,0.7385]"
baseline_softmax_mean_across_seeds,AUROC_S3_exceed,"0.7398 [0.7340,0.7440]"
baseline_softmax_mean_across_seeds,AUROC_S4_class,"0.7320 [0.7278,0.7385]"
baseline_softmax_mean_across_seeds,AUROC_S5_dist,"0.6963 [0.6926,0.6994]"
