metric,strategy,value
AUROC_FN,S1_max,0.5000
AUROC_FP,S1_max,0.5000
AUROC_any,S1_max,0.5000
AUROC_FN,S2_mean,0.4745
AUROC_FP,S2_mean,0.2669
AUROC_any,S2_mean,0.2803
AUROC_FN,S3_exceed,0.4669
AUROC_FP,S3_exceed,0.2567
AUROC_any,S3_exceed,0.2694
AUROC_FN,S4_class,0.4984
AUROC_FP,S4_class,0.5036
AUROC_any,S4_class,0.5032
AUROC_FN,S5_dist,0.5042
AUROC_FP,S5_dist,0.4786
AUROC_any,S5_dist,0.4686
spearman_S2_vs_errors,all,-0.3820
AUROC_Car,S1_max,0.5000
AUROC_Car,S2_mean,0.3228
AUROC_Car,S3_exceed,0.3208
AUROC_Car,S4_class,0.5028
AUROC_Car,S5_dist,0.4708
AUROC_Pedestrian,S1_max,0.5000
AUROC_Pedestrian,S2_mean,0.4154
AUROC_Pedestrian,S3_exceed,0.4026
AUROC_Pedestrian,S4_class,0.5022
AUROC_Pedestrian,S5_dist,0.5095
AUROC_Cyclist,S1_max,0.5000
AUROC_Cyclist,S2_mean,0.4761
AUROC_Cyclist,S3_exceed,0.4632
AUROC_Cyclist,S4_class,0.4981
AUROC_Cyclist,S5_dist,0.4947
AUROC_range_0_20,S1_max,0.5000
AUROC_range_0_20,S2_mean,0.2617
AUROC_range_0_20,S3_exceed,0.2491
AUROC_range_0_20,S4_class,0.5045
AUROC_range_0_20,S5_dist,0.3974
AUROC_range_20_40,S1_max,0.5000
AUROC_range_20_40,S2_mean,0.4076
AUROC_range_20_40,S3_exceed,0.3876
AUROC_range_20_40,S4_class,0.4985
AUROC_range_20_40,S5_dist,0.5232
AUROC_range_40_80,S1_max,0.5000
AUROC_range_40_80,S2_mean,0.5249
AUROC_range_40_80,S3_exceed,0.5142
AUROC_range_40_80,S4_class,0.5009
AUROC_range_40_80,S5_dist,0.5533
fig6_frame_id,n/a,000001
fig7_frame_id,n/a,000025
