seed,strategy,label,auroc,ci_lo,ci_hi,note
1,S1_max,severe,0.5586,0.4863,0.6330,
1,S1_max,any,0.3259,0.2265,0.5000,
1,S2_mean,severe,0.5356,0.4692,0.6023,
1,S2_mean,any,0.5705,0.1980,0.9395,
1,S3_exceed,severe,0.4163,0.3501,0.4856,
1,S3_exceed,any,0.1998,0.0227,0.5000,
1,S4_class,severe,0.5319,0.4605,0.6051,
1,S4_class,any,0.5487,0.1319,0.9615,
1,S5_dist,severe,0.4711,0.4007,0.5436,
1,S5_dist,any,0.4863,0.0746,0.8983,
2,S1_max,severe,0.6225,0.5552,0.6878,
2,S1_max,any,0.6277,0.4888,0.7649,
2,S2_mean,severe,0.5190,0.4512,0.5873,
2,S2_mean,any,0.5555,0.1210,0.9859,
2,S3_exceed,severe,0.3533,0.2871,0.4220,
2,S3_exceed,any,0.2734,0.0178,0.5349,
2,S4_class,severe,0.4974,0.4239,0.5698,
2,S4_class,any,0.5173,0.0486,0.9843,
2,S5_dist,severe,0.4616,0.3863,0.5312,
2,S5_dist,any,0.5053,0.0417,0.9684,
3,S1_max,severe,0.6183,0.5506,0.6902,
3,S1_max,any,0.8608,0.5000,0.9897,
3,S2_mean,severe,0.5345,0.4703,0.6002,
3,S2_mean,any,0.5848,0.1672,0.9958,
3,S3_exceed,severe,0.3713,0.3023,0.4396,
3,S3_exceed,any,0.4630,0.0036,0.9256,
3,S4_class,severe,0.5277,0.4595,0.5954,
3,S4_class,any,0.5633,0.1231,0.9981,
3,S5_dist,severe,0.4908,0.4246,0.5592,
3,S5_dist,any,0.5439,0.1008,0.9835,
4,S1_max,severe,0.6074,0.5308,0.6808,
4,S1_max,any,0.7161,0.4299,0.9934,
4,S2_mean,severe,0.5604,0.4942,0.6234,
4,S2_mean,any,0.5709,0.1361,0.9992,
4,S3_exceed,severe,0.4243,0.3542,0.4915,
4,S3_exceed,any,0.5097,0.0405,0.9780,
4,S4_class,severe,0.5400,0.4690,0.6060,
4,S4_class,any,0.5405,0.0770,0.9987,
4,S5_dist,severe,0.4937,0.4249,0.5595,
4,S5_dist,any,0.5340,0.0794,0.9857,
mean,S1_max,severe,0.6017,0.5586,0.6225,across_seeds
mean,S1_max,any,0.6326,0.3259,0.8608,across_seeds
mean,S2_mean,severe,0.5374,0.5190,0.5604,across_seeds
mean,S2_mean,any,0.5704,0.5555,0.5848,across_seeds
mean,S3_exceed,severe,0.3913,0.3533,0.4243,across_seeds
mean,S3_exceed,any,0.3615,0.1998,0.5097,across_seeds
mean,S4_class,severe,0.5242,0.4974,0.5400,across_seeds
mean,S4_class,any,0.5424,0.5173,0.5633,across_seeds
mean,S5_dist,severe,0.4793,0.4616,0.4937,across_seeds
mean,S5_dist,any,0.5174,0.4863,0.5439,across_seeds
