strategy,label,auroc,ci_lo,ci_hi,note
S1_max,severe,0.8166,0.7553,0.8739,
S1_max,any,0.9992,0.5000,1.0000,
S1_max,FN,0.5885,0.5704,0.6056,
S1_max,FP,0.9996,0.5000,1.0000,
S2_mean,severe,0.7236,0.6570,0.7946,
S2_mean,any,0.9987,0.5000,0.9997,
S2_mean,FN,0.5637,0.5455,0.5804,
S2_mean,FP,0.9993,0.5000,1.0000,
S3_exceed,severe,0.6735,0.5968,0.7486,
S3_exceed,any,0.9976,0.5000,0.9987,
S3_exceed,FN,0.5539,0.5357,0.5720,
S3_exceed,FP,0.9977,0.5000,0.9987,
S4_class,severe,0.7099,0.6396,0.7839,
S4_class,any,0.9989,0.5000,0.9997,
S4_class,FN,0.5513,0.5326,0.5684,
S4_class,FP,0.9995,0.5000,1.0000,
S5_dist,severe,0.7082,0.6398,0.7825,
S5_dist,any,0.9959,0.5000,0.9989,
S5_dist,FN,0.5441,0.5254,0.5636,
S5_dist,FP,0.9974,0.5000,1.0000,
