seed,strategy,label,auroc,ci_lo,ci_hi,note
1,S1_max,any,0.6816,0.5919,0.7621,
1,S2_mean,any,0.1274,0.0673,0.1969,
1,S3_exceed,any,0.1513,0.0680,0.2439,
1,S4_class,any,0.1165,0.0608,0.1824,
1,S5_dist,any,0.1163,0.0603,0.1860,
2,S1_max,any,0.6453,0.5516,0.7357,
2,S2_mean,any,0.0702,0.0417,0.1039,
2,S3_exceed,any,0.0736,0.0394,0.1153,
2,S4_class,any,0.0576,0.0336,0.0851,
2,S5_dist,any,0.0738,0.0382,0.1128,
3,S1_max,any,0.5147,0.4131,0.6240,
3,S2_mean,any,0.0653,0.0334,0.1041,
3,S3_exceed,any,0.0496,0.0259,0.0821,
3,S4_class,any,0.0574,0.0280,0.0939,
3,S5_dist,any,0.0754,0.0337,0.1253,
4,S1_max,any,0.6251,0.5305,0.7202,
4,S2_mean,any,0.0855,0.0441,0.1387,
4,S3_exceed,any,0.0925,0.0469,0.1488,
4,S4_class,any,0.0749,0.0394,0.1187,
4,S5_dist,any,0.0918,0.0435,0.1490,
mean,S1_max,any,0.6167,0.5147,0.6816,across_seeds
mean,S2_mean,any,0.0871,0.0653,0.1274,across_seeds
mean,S3_exceed,any,0.0917,0.0496,0.1513,across_seeds
mean,S4_class,any,0.0766,0.0574,0.1165,across_seeds
mean,S5_dist,any,0.0893,0.0738,0.1163,across_seeds
