strategy,label,auroc,ci_lo,ci_hi,note
S1_max,any,0.8536,0.7549,0.9238,
S1_max,FN,0.6740,0.6096,0.7266,
S1_max,FP,0.9874,0.9738,0.9998,
S2_mean,any,0.5127,0.3815,0.6390,
S2_mean,FN,0.5659,0.5031,0.6245,
S2_mean,FP,0.7208,0.3172,0.9998,
S3_exceed,any,0.4542,0.3181,0.5979,
S3_exceed,FN,0.5438,0.4844,0.6081,
S3_exceed,FP,0.6636,0.1689,0.9972,
S4_class,any,0.4874,0.3520,0.6212,
S4_class,FN,0.5624,0.5020,0.6210,
S4_class,FP,0.7123,0.3028,0.9998,
S5_dist,any,0.5046,0.3733,0.6348,
S5_dist,FN,0.5588,0.4959,0.6244,
S5_dist,FP,0.7043,0.2916,0.9997,
