standard,edition_as_cited,year,clause,claim_id,node,lifecycle_phase,out_of_scope
ISO21434,ISO/SAE 21434:2021 — Road vehicles — Cybersecurity engineering,2021,Cl.10,CLM-21434-CTRL-01,G4,Design / Training,False
ISO21434,ISO/SAE 21434:2021 — Road vehicles — Cybersecurity engineering,2021,Cl.10,CLM-21434-VER-01,G5,Verification & Validation,False
ISO21434,ISO/SAE 21434:2021 — Road vehicles — Cybersecurity engineering,2021,Cl.15,CLM-21434-TARA-01,G1,Concept / Requirements,False
ISO21434,ISO/SAE 21434:2021 — Road vehicles — Cybersecurity engineering,2021,Cl.15,CLM-21434-TREAT-01,G8,Design / Training,False
ISO21434,ISO/SAE 21434:2021 — Road vehicles — Cybersecurity engineering,2021,Cl.15.8,CLM-21434-RISK-01,G8,Concept / Requirements,False
ISO21434,ISO/SAE 21434:2021 — Road vehicles — Cybersecurity engineering,2021,Cl.3.1.11,CLM-21434-CASE-01,G8,Verification & Validation,False
ISO21434,ISO/SAE 21434:2021 — Road vehicles — Cybersecurity engineering,2021,Cl.8,CLM-21434-MON-01,G6,Operation / Monitoring,False
ISO21434,ISO/SAE 21434:2021 — Road vehicles — Cybersecurity engineering,2021,[RQ-06-01],CLM-21434-SPEC-01,G2,Concept / Requirements,False
ISO21434,ISO/SAE 21434:2021 — Road vehicles — Cybersecurity engineering,2021,[RQ-15-06],CLM-21434-BRIDGE-01,G8,Concept / Requirements,False
ISO21448,ISO 21448:2022 — Road vehicles — Safety of the intended functionality,2022,Cl.10,CLM-21448-UNK-01,G5,Verification & Validation,False
ISO21448,ISO 21448:2022 — Road vehicles — Safety of the intended functionality,2022,Cl.11,CLM-21448-VSTRAT-01,G5,Verification & Validation,False
ISO21448,ISO 21448:2022 — Road vehicles — Safety of the intended functionality,2022,Cl.12,CLM-21448-REL-01,G7,Integration / Deployment,False
ISO21448,ISO 21448:2022 — Road vehicles — Safety of the intended functionality,2022,Cl.13,CLM-21448-MON-01,G6,Operation / Monitoring,False
ISO21448,ISO 21448:2022 — Road vehicles — Safety of the intended functionality,2022,Cl.5,CLM-21448-AREA-01,G7,Concept / Requirements,False
ISO21448,ISO 21448:2022 — Road vehicles — Safety of the intended functionality,2022,Cl.6.5,CLM-21448-ACC-01,G7,Concept / Requirements,False
ISO21448,ISO 21448:2022 — Road vehicles — Safety of the intended functionality,2022,Cl.7,CLM-21448-TRIG-01,G2,Concept / Requirements,False
ISO21448,ISO 21448:2022 — Road vehicles — Safety of the intended functionality,2022,Cl.9,CLM-21448-VER-01,G5,Verification & Validation,False
ISO21448,ISO 21448:2022 — Road vehicles — Safety of the intended functionality,2022,Table A.10,CLM-21448-RISK-01,G7,Verification & Validation,False
ISO21448,ISO 21448:2022 — Road vehicles — Safety of the intended functionality,2022,Table A.8,CLM-21448-SPEC-01,G2,Concept / Requirements,False
ISO21448,ISO 21448:2022 — Road vehicles — Safety of the intended functionality,2022,Table A.9,CLM-21448-DES-01,G4,Design / Training,False
ISO26262,ISO 26262:2018 — Road vehicles — Functional safety,2018,"Part 2, Cl.6.4",CLM-26262-CASE-01,G1,Verification & Validation,False
ISO26262,ISO 26262:2018 — Road vehicles — Functional safety,2018,"Part 3, Cl.6",CLM-26262-HARA-01,G1,Concept / Requirements,False
ISO26262,ISO 26262:2018 — Road vehicles — Functional safety,2018,"Part 3, Cl.6.4.3",CLM-26262-CTRL-01,G1,Concept / Requirements,False
